"driverref","avg_position"
"bettenhausen",14.7692307692307692
"alan_brown",14.7777777777777778
"nannini",14.8051948051948052
"doornbos",14.8181818181818182
"gould",14.8333333333333333
"jarier",14.8601398601398601
"sullivan",14.8666666666666667
"leclere",14.8750000000000000
"cheever",14.9440559440559441
"ericsson",14.9587628865979381
"warwick",14.9629629629629630
"scarborough",15.0000000000000000
"arnold",15.0000000000000000
"lagorce",15.0000000000000000
"harris",15.0000000000000000
"guelfi",15.0000000000000000
"freeland",15.0000000000000000
"prophet",15.0000000000000000
"reece",15.0000000000000000
"flaherty",15.0000000000000000
"enge",15.0000000000000000
"gordini",15.0000000000000000
"hoshino",15.0000000000000000
"christie",15.0000000000000000
"rahal",15.0000000000000000
"fisher",15.0000000000000000
"maldonado",15.0104166666666667
"palmer",15.0340909090909091
"baghetti",15.0384615384615385
"brendon_hartley",15.0400000000000000
"gutierrez",15.0677966101694915
"speed",15.0714285714285714
"fabre",15.0833333333333333
"wendlinger",15.0952380952380952
"vaccarella",15.2000000000000000
"filippis",15.2000000000000000
"badoer",15.2241379310344828
"brambilla",15.2307692307692308
"glock",15.2315789473684211
"rosset",15.2666666666666667
"jolyon_palmer",15.2702702702702703
"zunino",15.2727272727272727
"de_vries",15.2727272727272727
"baumgartner",15.3000000000000000
"takagi",15.3125000000000000
"gounon",15.3333333333333333
"george_connor",15.3333333333333333
"tornaco",15.3333333333333333
"nalon",15.3333333333333333
"rosa",15.3457943925233645
"eaton",15.3846153846153846
"parsons",15.4000000000000000
"magnussen",15.4000000000000000
"rossi",15.4000000000000000
"zorzi",15.4285714285714286
"tuero",15.4375000000000000
"bernard",15.4468085106382979
"andretti",15.4615384615384615
"gethin",15.4666666666666667
"peter_walker",15.5000000000000000
"takahara",15.5000000000000000
"sirotkin",15.5238095238095238
"morbidelli",15.5285714285714286
"mcnish",15.5294117647058824
"martini",15.6016260162601626
"mick_schumacher",15.6590909090909091
"whitehead",15.6666666666666667
"binder",15.6666666666666667
"griffith",15.6666666666666667
"serrurier",15.6666666666666667
"albers",15.6739130434782609
"merhi",15.6923076923076923
"bruno_senna",15.6956521739130435
"lehto",15.7285714285714286
"teague",15.7500000000000000
"beuttler",15.7586206896551724
"bernoldi",15.7931034482758621
"brandon",15.8000000000000000
"andre_pilette",15.8000000000000000
"satoru_nakajima",15.8250000000000000
"latifi",15.8524590163934426
"bayol",15.8571428571428571
"yoong",15.8750000000000000
"gardner",15.8888888888888889
"liuzzi",15.9135802469135802
"cesaris",15.9813084112149533
"friesacher",16.0000000000000000
"cruz",16.0000000000000000
"sarrazin",16.0000000000000000
"aitken",16.0000000000000000
"naspetti",16.0000000000000000
"charrington",16.0000000000000000
"brudes",16.0000000000000000
"owen",16.0000000000000000
"constantine",16.0000000000000000
"goethals",16.0000000000000000
"grignard",16.0000000000000000
"mayer",16.0000000000000000
"rhodes",16.0000000000000000
"brack",16.0000000000000000
"comotti",16.0000000000000000
"wilson_fittipaldi",16.0263157894736842
"johansson",16.0388349514563107
"gugelmin",16.0625000000000000
"marques",16.0769230769230769
"moser",16.1111111111111111
"gartner",16.1250000000000000
"wehrlein",16.1282051282051282
"pantano",16.1428571428571429
"neve",16.1538461538461538
"zanardi",16.1590909090909091
"stuck",16.1604938271604938
"davidson",16.1666666666666667
"daly",16.2031250000000000
"lunger",16.2857142857142857
"katayama",16.3092783505154639
"geki",16.3333333333333333
"adamich",16.3333333333333333
"schenken",16.3611111111111111
"duncan_hamilton",16.4000000000000000
"bucci",16.4000000000000000
"baldi",16.4146341463414634
"sargeant",16.4166666666666667
"fabi",16.4225352112676056
"vic_wilson",16.5000000000000000
"ahrens",16.5000000000000000
"legat",16.5000000000000000
